t,influ_perc,rhino_perc
1064.0,0.1686570175,0.136
1071.0,0.20453016689999998,0.094
1078.0,0.2112568456,0.079
1085.0,0.22135336130000002,0.10300000000000001
1092.0,0.2519357392,0.086
1099.0,0.18913033420000003,0.081
1106.0,0.1263575058,0.08
1113.0,0.09640746269000001,0.076
1120.0,0.07123018868,0.11900000000000001
1127.0,0.07561409692,0.11800000000000001
1134.0,0.05914886363999999,0.131
1141.0,0.06890039841000001,0.122
1148.0,0.05628352940999999,0.11599999999999999
1155.0,0.05273162791000001,0.083
1169.0,0.034,0.096
1183.0,0.006999999999999999,0.091
1197.0,0.0009,0.048
1211.0,0.0,0.067
1225.0,0.0,0.044000000000000004
1239.0,0.0,0.02
1253.0,0.0,0.016
1267.0,0.0,0.015
1281.0,0.006999999999999999,0.012
1295.0,0.0,0.042
1309.0,0.0,0.048
1323.0,0.0,0.11900000000000001
1337.0,0.0,0.084
1351.0,0.0,0.22699999999999998
1365.0,0.0034999999999999996,0.222
1372.0,0.0,0.223
1379.0,0.002,0.203
1386.0,0.001,0.18899999999999997
1393.0,0.0,0.168
1400.0,0.0,0.184
1407.0,0.0,0.147
1414.0,0.001,0.163
1421.0,0.002,0.146
1428.0,0.002,0.13
1435.0,0.0,0.091
1442.0,0.002,0.09300000000000001
1449.0,0.0,0.11
1456.0,0.001,0.076
1463.0,0.0,0.09
1470.0,0.0,0.055999999999999994
1477.0,0.0,0.048
1484.0,0.0,0.04
1491.0,0.0,0.027999999999999997
1498.0,0.0,0.037000000000000005
1505.0,0.0,0.037000000000000005
1512.0,0.0,0.048
1519.0,0.0,0.028999999999999998
1526.0,0.0,0.035
1533.0,0.0,0.038
1540.0,0.0,0.061
1547.0,0.0,0.095
1554.0,0.0,0.131
1561.0,0.0,0.12
1568.0,0.001,0.126
1575.0,0.0,0.076
1582.0,0.0,0.065
1589.0,0.0,0.1
1596.0,0.0,0.078
1603.0,0.0,0.114
1610.0,0.0,0.079
1617.0,0.001,0.08199999999999999
1624.0,0.0,0.059000000000000004
1631.0,0.0,0.065
1638.0,0.0,0.059000000000000004
1645.0,0.0,0.113
